                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0087,                 4.4605,                 4.1999,                0.00078,                0.03503,                0.00057,                0.00019,                 3.6814,                 4.6414,                 4.1614,             0.00029655,             0.00029655,             0.00029655
                      2,                 3.5036,                 3.6604,                 3.7251,                0.00085,                0.03439,                0.00056,                0.00019,                 3.8522,                 5.2366,                 4.4082,             0.00059362,             0.00059362,             0.00059362
                      3,                 3.1846,                 3.1481,                 3.1582,                0.58341,                0.01885,                0.00668,                0.00232,                 3.1109,                  3.936,                 3.6704,             0.00088468,             0.00088468,             0.00088468
                      4,                 2.9229,                 2.8569,                 2.8441,                0.47897,                0.03608,                0.03077,                0.01068,                 2.7794,                 3.0991,                 3.0032,               0.000882,               0.000882,               0.000882
                      5,                 2.6774,                 2.5743,                 2.5754,                 0.4324,                0.07187,                0.05491,                0.01874,                  2.704,                 2.8544,                 2.7944,               0.000873,               0.000873,               0.000873
                      6,                 2.5213,                 2.3765,                 2.4008,                0.41397,                0.08208,                0.07054,                 0.0287,                  2.456,                 2.6677,                 2.5502,               0.000864,               0.000864,               0.000864
                      7,                 2.3767,                  2.263,                 2.2644,                0.66366,                0.11304,                0.11598,                0.04773,                 2.3187,                 2.4527,                 2.3909,             0.00085501,             0.00085501,             0.00085501
                      8,                 2.2543,                 2.1564,                 2.1917,                0.39983,                0.12597,                0.11538,                0.05243,                 2.2903,                 2.4267,                 2.2974,             0.00084601,             0.00084601,             0.00084601
                      9,                  2.102,                 1.9619,                 2.0249,                0.46423,                0.12283,                0.15386,                0.07453,                 2.0838,                 2.1646,                 2.1811,             0.00083701,             0.00083701,             0.00083701
                     10,                  1.975,                 1.8166,                 1.9172,                0.37541,                 0.1638,                0.18035,                0.09612,                 1.9652,                 2.0137,                 2.0825,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.9244,                  1.767,                 1.8587,                0.39298,                0.16166,                0.19007,                 0.1019,                 1.8839,                 2.0652,                 1.9637,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.8715,                 1.6897,                 1.7941,                0.40187,                 0.1756,                0.22055,                0.10528,                  1.924,                  1.932,                 1.9582,             0.00081001,             0.00081001,             0.00081001
                     13,                 1.8184,                 1.6426,                 1.7542,                0.59676,                0.20375,                0.23695,                0.12949,                 1.8394,                 1.8233,                 1.9011,             0.00080101,             0.00080101,             0.00080101
                     14,                 1.7621,                 1.5845,                 1.7054,                0.54814,                0.21531,                0.24526,                0.12967,                 1.7803,                 1.8708,                 1.8275,             0.00079201,             0.00079201,             0.00079201
                     15,                 1.6897,                  1.512,                 1.6451,                0.39657,                0.22371,                0.25868,                0.14417,                 1.7371,                 1.7508,                 1.8202,             0.00078301,             0.00078301,             0.00078301
                     16,                 1.6883,                 1.4705,                 1.6284,                0.50253,                0.22079,                0.24325,                0.12453,                  1.818,                 1.7826,                 1.8501,             0.00077401,             0.00077401,             0.00077401
                     17,                 1.6828,                 1.4637,                 1.6141,                0.69456,                0.25723,                0.29532,                0.16371,                 1.6608,                 1.6512,                 1.7124,             0.00076501,             0.00076501,             0.00076501
                     18,                 1.5936,                 1.3944,                 1.5571,                0.72867,                0.24243,                 0.3198,                0.17716,                 1.6581,                 1.5918,                 1.7074,             0.00075602,             0.00075602,             0.00075602
                     19,                 1.5878,                 1.3723,                 1.5468,                0.87772,                0.25771,                0.33312,                0.19047,                 1.6043,                  1.491,                 1.6734,             0.00074702,             0.00074702,             0.00074702
                     20,                  1.575,                 1.3686,                 1.5422,                0.70418,                0.25768,                0.30337,                0.16568,                 1.6237,                 1.5762,                 1.6747,             0.00073802,             0.00073802,             0.00073802
                     21,                 1.5246,                  1.308,                 1.4963,                0.63511,                0.31023,                0.36146,                0.21116,                 1.5633,                 1.4744,                 1.6083,             0.00072902,             0.00072902,             0.00072902
                     22,                 1.5382,                 1.2878,                 1.4898,                0.44226,                0.28591,                0.34168,                0.20575,                 1.5315,                 1.4855,                 1.5897,             0.00072002,             0.00072002,             0.00072002
                     23,                 1.4755,                 1.2281,                 1.4458,                0.55362,                0.29883,                0.35498,                0.20937,                  1.528,                 1.4852,                 1.5898,             0.00071102,             0.00071102,             0.00071102
                     24,                 1.4859,                 1.2393,                 1.4446,                0.56497,                0.35483,                0.41061,                  0.238,                 1.4997,                 1.4014,                 1.5425,             0.00070202,             0.00070202,             0.00070202
                     25,                 1.4447,                 1.2001,                 1.4255,                  0.592,                0.33146,                0.39452,                0.22781,                 1.5395,                 1.4023,                 1.5521,             0.00069302,             0.00069302,             0.00069302
                     26,                 1.4733,                  1.219,                 1.4272,                0.46262,                0.39892,                0.41385,                0.23016,                 1.4709,                 1.3913,                 1.5194,             0.00068402,             0.00068402,             0.00068402
                     27,                 1.4134,                 1.1656,                 1.3837,                0.71509,                0.36033,                0.45332,                0.25425,                 1.4631,                 1.3642,                 1.5099,             0.00067502,             0.00067502,             0.00067502
                     28,                 1.4168,                 1.1522,                 1.3939,                 0.3753,                0.39242,                0.39225,                0.23033,                 1.4669,                 1.3555,                 1.5092,             0.00066602,             0.00066602,             0.00066602
                     29,                 1.4343,                 1.1729,                 1.3864,                0.48165,                0.38375,                0.42199,                0.24465,                 1.4523,                 1.3565,                 1.4868,             0.00065703,             0.00065703,             0.00065703
                     30,                 1.3953,                 1.1645,                 1.3796,                0.48738,                0.42617,                0.44235,                0.26084,                 1.4409,                 1.3213,                 1.4943,             0.00064803,             0.00064803,             0.00064803
                     31,                 1.3491,                 1.0952,                 1.3365,                0.67894,                0.40472,                 0.4545,                0.26817,                 1.3869,                 1.2976,                 1.4312,             0.00063903,             0.00063903,             0.00063903
                     32,                 1.3805,                 1.1325,                 1.3674,                0.54943,                0.38292,                0.44942,                0.24871,                 1.4471,                 1.3141,                 1.4527,             0.00063003,             0.00063003,             0.00063003
                     33,                 1.3616,                 1.0961,                 1.3456,                0.57101,                 0.4169,                0.46847,                0.27249,                  1.397,                 1.2732,                 1.4388,             0.00062103,             0.00062103,             0.00062103
                     34,                 1.3417,                 1.0594,                 1.3246,                0.57651,                0.43886,                0.46553,                0.26886,                  1.433,                 1.3755,                 1.4465,             0.00061203,             0.00061203,             0.00061203
                     35,                 1.3464,                 1.0815,                 1.3305,                0.55836,                0.43867,                0.47932,                0.27791,                 1.4133,                 1.2602,                 1.4347,             0.00060303,             0.00060303,             0.00060303
                     36,                 1.3191,                 1.0451,                 1.3016,                0.52614,                0.47119,                0.48914,                0.28526,                 1.3813,                 1.2315,                 1.3957,             0.00059403,             0.00059403,             0.00059403
                     37,                 1.3263,                 1.0365,                 1.3029,                 0.6269,                0.43614,                0.49752,                0.27993,                 1.3762,                 1.2258,                 1.3984,             0.00058503,             0.00058503,             0.00058503
                     38,                 1.3112,                 1.0269,                  1.305,                 0.6206,                0.44452,                0.50519,                0.30042,                 1.3478,                 1.1925,                 1.3805,             0.00057603,             0.00057603,             0.00057603
                     39,                 1.2831,                0.99069,                 1.2793,                0.59214,                0.45551,                0.50621,                0.29442,                 1.3719,                 1.1927,                 1.4042,             0.00056703,             0.00056703,             0.00056703
                     40,                 1.2842,                0.99487,                 1.2843,                0.50595,                0.51187,                0.50826,                0.28618,                 1.3567,                 1.1938,                 1.3769,             0.00055804,             0.00055804,             0.00055804
                     41,                 1.2511,                0.97224,                 1.2644,                0.56148,                0.51402,                0.51657,                0.30159,                 1.3581,                 1.2094,                 1.3732,             0.00054904,             0.00054904,             0.00054904
                     42,                 1.2752,                0.98737,                 1.2698,                  0.676,                 0.4974,                0.54502,                0.31906,                 1.3708,                 1.1711,                    1.4,             0.00054004,             0.00054004,             0.00054004
                     43,                 1.2657,                0.97583,                 1.2654,                0.63489,                0.49217,                0.54111,                0.31986,                  1.323,                 1.1434,                 1.3503,             0.00053104,             0.00053104,             0.00053104
                     44,                 1.2661,                0.98072,                 1.2679,                0.53602,                0.51135,                0.54471,                0.31716,                 1.3183,                 1.1687,                 1.3403,             0.00052204,             0.00052204,             0.00052204
                     45,                 1.2398,                0.94223,                 1.2361,                0.65526,                0.50633,                0.55069,                0.32096,                 1.3283,                 1.1798,                 1.3508,             0.00051304,             0.00051304,             0.00051304
                     46,                 1.2467,                0.97241,                 1.2595,                0.60797,                0.51263,                0.55098,                 0.3215,                 1.3235,                  1.144,                 1.3365,             0.00050404,             0.00050404,             0.00050404
                     47,                  1.232,                0.94711,                 1.2335,                0.57528,                0.54148,                0.55089,                0.31151,                 1.3286,                 1.1672,                 1.3453,             0.00049504,             0.00049504,             0.00049504
                     48,                 1.2056,                0.92038,                 1.2205,                0.68246,                0.51382,                0.56289,                 0.3225,                 1.3046,                 1.1065,                 1.3304,             0.00048604,             0.00048604,             0.00048604
                     49,                 1.2321,                0.95223,                  1.245,                0.62953,                 0.5177,                0.54462,                0.32157,                 1.2826,                 1.1338,                 1.3093,             0.00047704,             0.00047704,             0.00047704
                     50,                 1.2163,                0.91857,                 1.2293,                0.68096,                 0.5178,                0.57089,                0.33916,                 1.3109,                 1.1244,                 1.3273,             0.00046804,             0.00046804,             0.00046804
                     51,                 1.2021,                0.90642,                 1.2189,                0.61915,                0.51295,                0.54776,                0.32166,                 1.3034,                 1.1341,                 1.3222,             0.00045904,             0.00045904,             0.00045904
                     52,                 1.2023,                0.90903,                 1.2219,                0.63949,                 0.5602,                0.58082,                0.33863,                 1.2974,                 1.1018,                 1.3316,             0.00045005,             0.00045005,             0.00045005
                     53,                 1.1818,                0.89498,                 1.2121,                0.72118,                 0.5297,                0.58236,                0.33703,                 1.2888,                  1.084,                 1.3058,             0.00044105,             0.00044105,             0.00044105
                     54,                  1.192,                0.90317,                  1.212,                0.68045,                0.53078,                 0.5821,                0.33515,                 1.3112,                 1.1073,                 1.3227,             0.00043205,             0.00043205,             0.00043205
                     55,                 1.1844,                0.89712,                 1.2042,                0.71389,                0.52602,                0.60118,                0.35119,                 1.2788,                 1.0693,                 1.3045,             0.00042305,             0.00042305,             0.00042305
                     56,                 1.1836,                0.88748,                 1.2025,                 0.7339,                0.53689,                0.60007,                0.35127,                 1.2954,                 1.0598,                 1.3095,             0.00041405,             0.00041405,             0.00041405
                     57,                  1.197,                0.89189,                 1.2061,                0.68019,                0.57247,                0.59854,                 0.3425,                 1.2699,                 1.0516,                 1.3013,             0.00040505,             0.00040505,             0.00040505
                     58,                 1.1729,                 0.8732,                 1.2002,                0.66009,                 0.5429,                 0.5815,                0.34643,                 1.2721,                 1.0693,                 1.3041,             0.00039605,             0.00039605,             0.00039605
                     59,                 1.1338,                0.84616,                 1.1679,                0.66206,                0.55609,                0.59921,                0.35225,                 1.2599,                 1.0508,                 1.2903,             0.00038705,             0.00038705,             0.00038705
                     60,                 1.1523,                0.84089,                 1.1789,                0.66198,                0.55026,                0.59574,                0.35063,                  1.243,                 1.0535,                 1.2791,             0.00037805,             0.00037805,             0.00037805
                     61,                  1.163,                0.84996,                 1.1833,                0.69985,                0.58601,                0.62225,                0.36609,                 1.2474,                 1.0377,                 1.2792,             0.00036905,             0.00036905,             0.00036905
                     62,                  1.156,                0.85189,                 1.1747,                0.71163,                0.58332,                0.60414,                0.35116,                 1.2489,                 1.0597,                 1.2794,             0.00036005,             0.00036005,             0.00036005
                     63,                 1.1554,                0.85765,                 1.1911,                0.63076,                0.56785,                0.60718,                0.35781,                 1.2561,                  1.042,                 1.2814,             0.00035106,             0.00035106,             0.00035106
                     64,                  1.142,                0.84049,                 1.1644,                0.66894,                0.58772,                0.61122,                0.35516,                 1.2425,                 1.0329,                  1.272,             0.00034206,             0.00034206,             0.00034206
                     65,                 1.1606,                0.86383,                 1.1752,                0.69503,                0.59318,                0.62403,                0.36829,                 1.2524,                  1.033,                 1.2769,             0.00033306,             0.00033306,             0.00033306
                     66,                  1.141,                0.83276,                 1.1768,                0.73291,                0.55582,                 0.6089,                 0.3547,                 1.2388,                 1.0424,                 1.2693,             0.00032406,             0.00032406,             0.00032406
                     67,                 1.1174,                0.80732,                  1.162,                0.73221,                0.58815,                0.62416,                0.36552,                 1.2301,                 1.0214,                 1.2653,             0.00031506,             0.00031506,             0.00031506
                     68,                 1.1223,                0.82085,                 1.1641,                 0.7488,                0.56456,                0.62969,                0.36334,                 1.2444,                  1.015,                 1.2711,             0.00030606,             0.00030606,             0.00030606
                     69,                  1.126,                0.81167,                 1.1577,                0.69617,                0.57244,                0.61681,                0.36411,                 1.2433,                 1.0218,                 1.2755,             0.00029706,             0.00029706,             0.00029706
                     70,                  1.114,                0.80402,                 1.1499,                0.76424,                0.57829,                0.63245,                0.37287,                 1.2146,                0.99547,                 1.2588,             0.00028806,             0.00028806,             0.00028806
                     71,                 1.1042,                0.79566,                 1.1547,                0.71536,                0.58048,                0.64043,                0.37636,                 1.2177,                0.98456,                 1.2494,             0.00027906,             0.00027906,             0.00027906
                     72,                 1.1245,                0.82534,                 1.1661,                0.75497,                0.58293,                0.63523,                0.37439,                   1.23,                 1.0078,                 1.2606,             0.00027006,             0.00027006,             0.00027006
                     73,                 1.1007,                0.79135,                 1.1452,                 0.7539,                 0.5818,                 0.6362,                0.37639,                 1.2232,                0.99117,                 1.2557,             0.00026106,             0.00026106,             0.00026106
                     74,                 1.0971,                0.78555,                 1.1409,                0.71772,                0.60482,                0.63145,                0.37069,                 1.2352,                 1.0147,                 1.2556,             0.00025207,             0.00025207,             0.00025207
